                                                  
                                                                                                                                                                                                                                                                
   RADII        E_HF           E_CCSDT
     0.8   -112.1689211   -112.4210545
     0.9   -112.5480291   -112.8162797
     1.0   -112.7071334   -112.9912775
     1.1   -112.7498623   -113.0502590
     1.2   -112.7319612   -113.0492333
     1.3   -112.6839472   -113.0187939
     1.4   -112.6228493   -112.9758902
     1.5   -112.5582980   -112.9298781
     1.6   -112.4958807   -112.8858382
                                                  
